node1,node2,time,line,color
370,189,35,3,khaki
370,286,35,3,khaki
371,158,66,8,orchid
371,156,46,8,orchid
375,165,33,4,magenta
375,310,28,4,magenta
7,8,120,11_3,black
8,7,120,3_11,black
13,14,120,2_4,black
14,13,120,4_2,black
16,18,120,1_8,black
16,17,120,1_5,black
17,18,120,5_8,black
17,16,120,5_1,black
18,16,120,8_1,black
18,17,120,8_5,black
20,21,120,11_2,black
21,20,120,2_11,black
22,23,120,14_6,black
23,22,120,6_14,black
32,33,120,8_9,black
33,32,120,9_8,black
50,51,120,1_13,black
51,50,120,13_1,black
55,57,120,1_6,black
55,56,120,1_2,black
56,57,120,2_6,black
56,55,120,2_1,black
57,55,120,6_1,black
57,56,120,6_2,black
59,60,120,7_9,black
60,59,120,9_7,black
67,69,120,1_14,black
67,68,120,1_11,black
67,70,120,1_4,black
67,71,120,1_7,black
68,69,120,11_14,black
68,70,120,11_4,black
68,71,120,11_7,black
68,67,120,11_1,black
69,67,120,14_1,black
69,70,120,14_4,black
69,71,120,14_7,black
69,68,120,14_11,black
70,71,120,4_7,black
70,69,120,4_14,black
70,68,120,4_11,black
70,67,120,4_1,black
71,70,120,7_4,black
71,69,120,7_14,black
71,68,120,7_11,black
71,67,120,7_1,black
77,79,120,1_8,black
77,78,120,1_12,black
78,79,120,12_8,black
78,77,120,12_1,black
79,77,120,8_1,black
79,78,120,8_12,black
93,94,120,6_8,black
94,93,120,8_6,black
95,96,120,4_6,black
96,95,120,6_4,black
99,100,120,10_13,black
100,99,120,13_10,black
109,110,120,1_9,black
110,109,120,9_1,black
115,116,120,3_3b,black
116,115,120,3b_3,black
117,118,120,10_5,black
118,117,120,5_10,black
119,120,120,1_14,black
120,119,120,14_1,black
121,123,120,4_7,black
121,122,120,4_5,black
122,123,120,5_7,black
122,121,120,5_4,black
123,121,120,7_4,black
123,122,120,7_5,black
124,125,120,4_5,black
125,124,120,5_4,black
132,133,120,3_9,black
133,132,120,9_3,black
135,136,120,1_11,black
136,135,120,11_1,black
137,138,120,13_8,black
138,137,120,8_13,black
142,144,120,2_7b,black
142,143,120,2_5,black
143,144,120,5_7b,black
143,142,120,5_2,black
144,142,120,7b_2,black
144,143,120,7b_5,black
148,149,120,10_7,black
149,148,120,7_10,black
154,156,120,10_8,black
154,155,120,10_6,black
155,156,120,6_8,black
155,154,120,6_10,black
156,154,120,8_10,black
156,155,120,8_6,black
169,170,120,7_7b,black
170,169,120,7b_7,black
175,177,120,12_8,black
175,176,120,12_14,black
176,177,120,14_8,black
176,175,120,14_12,black
177,175,120,8_12,black
177,176,120,8_14,black
191,192,120,12_4,black
192,191,120,4_12,black
202,203,120,13_9,black
203,202,120,9_13,black
206,208,120,12_4,black
206,207,120,12_13,black
206,209,120,12_6,black
207,208,120,13_4,black
207,209,120,13_6,black
207,206,120,13_12,black
208,206,120,4_12,black
